City,Code,Type,Line,Station
2210,0001,地铁,1号线,
2210,00010079,地铁,1号线,十三号街
2210,0001007B,地铁,1号线,中央大街
2210,0001007D,地铁,1号线,七号街
2210,0001007F,地铁,1号线,四号街
2210,00010081,地铁,1号线,张士
2210,00010083,地铁,1号线,开发大道
2210,00010085,地铁,1号线,于洪广场
2210,00010087,地铁,1号线,迎宾路
2210,00010089,地铁,1号线,重工街
2210,0001008B,地铁,1号线,启工街
2210,0001008D,地铁,1号线,保工街
2210,0001008F,地铁,1号线,铁西广场
2210,00010091,地铁,1号线,云峰北街
2210,00010093,地铁,1号线,沈阳站
2210,00010095,地铁,1号线,太原街
2210,00010097,地铁,1号线,南市场
2210,00010099,地铁,1号线,青年大街
2210,0001009B,地铁,1号线,怀远门
2210,0001009D,地铁,1号线,中街
2210,0001009F,地铁,1号线,东中街
2210,000100A1,地铁,1号线,滂江街
2210,000100A3,地铁,1号线,黎明广场
2210,0002,地铁,2号线,
2210,0002011B,地铁,2号线,蒲田路
2210,00020119,地铁,2号线,蒲河路
2210,00020117,地铁,2号线,人杰湖公园
2210,00020115,地铁,2号线,辽宁大学
2210,00020113,地铁,2号线,航空航天大学
2210,00020111,地铁,2号线,师范大学
2210,0002010F,地铁,2号线,医学院
2210,000200CB,地铁,2号线,三台子
2210,000200CD,地铁,2号线,陵西
2210,000200CF,地铁,2号线,新乐遗址
2210,000200D1,地铁,2号线,北陵公园
2210,000200D3,地铁,2号线,中医药大学
2210,000200D5,地铁,2号线,岐山路
2210,000200D7,地铁,2号线,沈阳北站
2210,000200D9,地铁,2号线,金融中心
2210,000200DB,地铁,2号线,市府广场
2210,000200DD,地铁,2号线,青年大街
2210,000200DF,地铁,2号线,青年公园
2210,000200E1,地铁,2号线,工业展览馆
2210,000200E3,地铁,2号线,市图书馆
2210,000200E5,地铁,2号线,五里河
2210,000200E7,地铁,2号线,奥体中心
2210,000200E9,地铁,2号线,营盘街
2210,000200EB,地铁,2号线,世纪大厦
2210,000200ED,地铁,2号线,白塔河路
2210,000200EF,地铁,2号线,全运路
2210,0009,地铁,9号线,
2210,00090399,地铁,9号线,怒江公园
2210,0009039B,地铁,9号线,淮河街沈医二院
2210,0009039D,地铁,9号线,皇姑屯站
2210,0009039F,地铁,9号线,重型文化广场
2210,000903A1,地铁,9号线,北二路
2210,000903A3,地铁,9号线,铁西广场
2210,000903A5,地铁,9号线,兴华公园
2210,000903A7,地铁,9号线,沈辽路
2210,000903A9,地铁,9号线,滑翔
2210,000903AB,地铁,9号线,吉力湖街
2210,000903AD,地铁,9号线,大通湖街
2210,000903AF,地铁,9号线,曹仲
2210,000903B1,地铁,9号线,浑河站
2210,000903B3,地铁,9号线,胜利南街
2210,000903B5,地铁,9号线,长白南
2210,000903B7,地铁,9号线,榆树台
2210,000903B9,地铁,9号线,金阳大街
2210,000903BB,地铁,9号线,彩霞街
2210,000903BD,地铁,9号线,奥体中心
2210,000903BF,地铁,9号线,天成街
2210,000903C1,地铁,9号线,朗日街
2210,000903C3,地铁,9号线,长青南街
2210,000903C5,地铁,9号线,建筑大学
2210,000A,地铁,10号线,
2210,000A03FD,地铁,10号线,丁香湖
2210,000A03FF,地铁,10号线,元江街
2210,000A0401,地铁,10号线,向工街
2210,000A0403,地铁,10号线,塔湾街
2210,000A0405,地铁,10号线,淮河街沈医二院
2210,000A0407,地铁,10号线,百鸟公园
2210,000A0409,地铁,10号线,长江街
2210,000A040B,地铁,10号线,中医药大学
2210,000A040D,地铁,10号线,陵东街
2210,000A040F,地铁,10号线,北塔
2210,000A0411,地铁,10号线,合作街
2210,000A0413,地铁,10号线,东北大马路
